date,pet_name,variant,value
2026-08-28,0,Regular,0
2026-08-28,2D Doggy,Regular,6.75
2026-08-28,7.5,Regular,2D Doggy
2026-08-28,Aestus,Regular,4.5
2026-08-28,Albino Monkey,Regular,16.25
2026-08-28,Arctic Dusk Dragon,Regular,3.5
2026-08-28,Arctic Reindeer,Regular,49.5
2026-08-28,Aurora Fox,Regular,3.75
2026-08-28,Balloon Unicorn,Regular,165
2026-08-28,Bat Dragon,Regular,940
2026-08-28,Black-Chested Pheasant,Regular,13.75
2026-08-28,Blazing Lion,Regular,196
2026-08-28,Bush Elephant,Regular,20.5
2026-08-28,Caelum Cervi,Regular,4.5
2026-08-28,Candicorn,Regular,9.5
2026-08-28,Candyfloss Chick,Regular,19
2026-08-28,Cerberus,Regular,4
2026-08-28,Chocolate Chip Bat Dragon,Regular,31.5
2026-08-28,Crow,Regular,175
2026-08-28,Cryptid,Regular,134
2026-08-28,Cupid Dragon,Regular,6
2026-08-28,Dancing Dragon,Regular,3.25
2026-08-28,Diamond Albatross,Regular,3.75
2026-08-28,Diamond Amazon,Regular,5
2026-08-28,Diamond Butterfly,Regular,64
2026-08-28,Diamond Hummingbird,Regular,3.5
2026-08-28,Emperor Gorilla,Regular,27
2026-08-28,Evil Unicorn,Regular,108.5
2026-08-28,Fairy Bat Dragon,Regular,15.5
2026-08-28,Fallow Deer,Regular,4
2026-08-28,Field Mouse,Regular,5.25
2026-08-28,Frost Dragon,Regular,326
2026-08-28,Frost Fury,Regular,5
2026-08-28,Frost Unicorn,Regular,14.75
2026-08-28,Frostbite Bear,Regular,35
2026-08-28,Giant Gold Scarab,Regular,3.75
2026-08-28,Giant Panda,Regular,218.5
2026-08-28,Giraffe,Regular,475
2026-08-28,Glacier Kitsune,Regular,3.5
2026-08-28,Glormy Leo,Regular,3.75
2026-08-28,Grim Dragon,Regular,29
2026-08-28,Haetae,Regular,117
2026-08-28,Halloween White Ghost Dragon,Regular,5.5
2026-08-28,Help,Regular,0
2026-08-28,Hero Gibbon,Regular,8.75
2026-08-28,Hot Doggo,Regular,36
2026-08-28,Ice Golem,Regular,3.25
2026-08-28,Jekyll Hydra,Regular,62
2026-08-28,Jousting Horse,Regular,9
2026-08-28,Kangaroo,Regular,17.5
2026-08-28,Kiwi Kiwi,Regular,3
2026-08-28,Lava Dragon,Regular,5.25
2026-08-28,Mechapup,Regular,18
2026-08-28,Mermicorn,Regular,28
2026-08-28,Midnight Dragon,Regular,5.5
2026-08-28,Monkey King,Regular,65
2026-08-28,Moonbeam Peacock,Regular,16.25
2026-08-28,Nessie,Regular,6.5
2026-08-28,Orchid Butterfly,Regular,103
2026-08-28,Owl,Regular,246.5
2026-08-28,Owlbear,Regular,4.75
2026-08-28,Papa Moose,Regular,5.75
2026-08-28,Parrot,Regular,196
2026-08-28,Phantom Dragon,Regular,9.25
2026-08-28,Pineapple Owl,Regular,3
2026-08-28,Pirate Ghost Capuchin Monkey,Regular,24
2026-08-28,Red Dutch Guinea Pig,Regular,7.5
2026-08-28,Royal Mistletroll,Regular,15
2026-08-28,Sakura Spirit,Regular,5
2026-08-28,Scorching Kaijunior,Regular,3
2026-08-28,Shadow Dragon,Regular,844
2026-08-28,Shark Puppy,Regular,12.5
2026-08-28,Silverback Gorilla,Regular,23
2026-08-28,Solaris,Regular,4.5
2026-08-28,Strawberry Penguin,Regular,5.5
2026-08-28,Strawberry Shortcake Bat Dragon,Regular,32.5
2026-08-28,Strawberry Tortle,Regular,29
2026-08-28,Sugar Axolotl,Regular,12.5
2026-08-28,Sugar Glider,Regular,26
2026-08-28,THEIR OFFER,Regular,0
2026-08-28,Terms of Service,Regular,Copyright 2020-2026 Elvebredd. All rights reserved. All in-game assets and trademarks are the property of their respective owners. There are no official values in Adopt Me and we are not affiliated with Uplift Games LLC. Ads served by Playwire. Values are independent of Adopt Me WFL.
2026-08-28,Tió De Nadal,Regular,18
2026-08-28,Tortoiseshell Guinea Pig,Regular,26
2026-08-28,Turtle,Regular,23
2026-08-28,Undead Jousting Horse,Regular,66
2026-08-28,Vampire Dragon,Regular,12
2026-08-28,Velocirooster,Regular,13.5
2026-08-28,Werewolf,Regular,26
2026-08-28,Winged Tiger,Regular,14.25
